ptr,ptr(hex),u32arHPage[16],u16FPageW,u8DesCh,u8DesIntlvA,u16BufIdx,u16CacheAddr,u16XfrCnt,u16FBlockW,u32OrgDesPage2,u8StateW,u8CmdSrc,u8ActMode,u8LSBMode,u16SlotFlagW
36,0x24,"0x000a7d54,0x55000a7d,0x7d55000a,0x0a7d5500,0x000a7d55,0x56000a7d,0x7d56000a,0x0a7d5600,0x000a7d56,0x57000a7d,0x7d57000a,0x0a7d5700,0x000a7d57,0x58000a7d,0x7d58000a,0x0a7d5800",0x000d,0x00,0x01,0x0000,0x36c0,0x0040,0x001e,0x000000d8,0x00,0x04,0x00,0x00,0x0040
37,0x25,"0x000a7d5c,0x5d000a7d,0x7d5d000a,0x0a7d5d00,0x000a7d5d,0x5e000a7d,0x7d5e000a,0x0a7d5e00,0x000a7d5e,0x5f000a7d,0x7d5f000a,0x0a7d5f00,0x000a7d5f,0x60000a7d,0x7d60000a,0x0a7d6000",0x000d,0x01,0x01,0x0040,0x3700,0x0040,0x001e,0x000000d9,0x00,0x04,0x00,0x00,0x0040
38,0x26,"0x000a7d64,0x65000a7d,0x7d65000a,0x0a7d6500,0x000a7d65,0x66000a7d,0x7d66000a,0x0a7d6600,0x000a7d66,0x67000a7d,0x7d67000a,0x0a7d6700,0x000a7d67,0x68000a7d,0x7d68000a,0x0a7d6800",0x000d,0x02,0x01,0x0080,0x3740,0x0040,0x001e,0x000000da,0x00,0x04,0x00,0x00,0x0040
39,0x27,"0x000a7d6c,0x6d000a7d,0x7d6d000a,0x0a7d6d00,0x000a7d6d,0x6e000a7d,0x7d6e000a,0x0a7d6e00,0x000a7d6e,0x6f000a7d,0x7d6f000a,0x0a7d6f00,0x000a7d6f,0x70000a7d,0x7d70000a,0x0a7d7000",0x000d,0x03,0x01,0x00c0,0x3780,0x0040,0x001e,0x000000db,0x00,0x04,0x00,0x00,0x0040
40,0x28,"0x000a7d74,0x75000a7d,0x7d75000a,0x0a7d7500,0x000a7d75,0x76000a7d,0x7d76000a,0x0a7d7600,0x000a7d76,0x77000a7d,0x7d77000a,0x0a7d7700,0x000a7d77,0x78000a7d,0x7d78000a,0x0a7d7800",0x000d,0x04,0x01,0x0100,0x37c0,0x0040,0x001e,0x000000dc,0x00,0x04,0x00,0x00,0x0040
41,0x29,"0x000a7d7c,0x7d000a7d,0x7d7d000a,0x0a7d7d00,0x000a7d7d,0x7e000a7d,0x7d7e000a,0x0a7d7e00,0x000a7d7e,0x7f000a7d,0x7d7f000a,0x0a7d7f00,0x000a7d7f,0x80000a7d,0x7d80000a,0x0a7d8000",0x000d,0x05,0x01,0x0140,0x3800,0x0040,0x001e,0x000000dd,0x00,0x04,0x00,0x00,0x0040
42,0x2a,"0x000a7d84,0x85000a7d,0x7d85000a,0x0a7d8500,0x000a7d85,0x86000a7d,0x7d86000a,0x0a7d8600,0x000a7d86,0x87000a7d,0x7d87000a,0x0a7d8700,0x000a7d87,0x88000a7d,0x7d88000a,0x0a7d8800",0x000d,0x06,0x01,0x0180,0x3840,0x0040,0x001e,0x000000de,0x00,0x04,0x00,0x00,0x0040
43,0x2b,"0x000a7d8c,0x8d000a7d,0x7d8d000a,0x0a7d8d00,0x000a7d8d,0x8e000a7d,0x7d8e000a,0x0a7d8e00,0x000a7d8e,0x8f000a7d,0x7d8f000a,0x0a7d8f00,0x000a7d8f,0x90000a7d,0x7d90000a,0x0a7d9000",0x000d,0x07,0x01,0x01c0,0x3880,0x0040,0x001e,0x000000df,0x00,0x04,0x00,0x00,0x0040
44,0x2c,"0xffffffff,0x8dffffff,0x7a8dffff,0x0a7a8dff,0x000a7a8d,0x8e000a7a,0x7a8e000a,0x0a7a8e00,0x000a7a8e,0x8f000a7a,0x7a8f000a,0x0a7a8f00,0x000a7a8f,0x90000a7a,0x7a90000a,0x0a7a9000",0x0007,0x07,0x01,0x03ff,0x0000,0x0000,0x001e,0x00000000,0x00,0x04,0x08,0x00,0x0281
45,0x2d,"0xffffffff,0x8dffffff,0x778dffff,0x0a778dff,0x000a778d,0x8e000a77,0x778e000a,0x0a778e00,0x000a778e,0x8f000a77,0x778f000a,0x0a778f00,0x000a778f,0x90000a77,0x7790000a,0x0a779000",0x0001,0x07,0x01,0x0200,0x3ac0,0x0200,0x001e,0x00000010,0x00,0x04,0x08,0x00,0x0081
46,0x2e,"0xffffffff,0x3affffff,0x733affff,0x0a733aff,0x000a733a,0x3b000a73,0x733b000a,0x0a733b00,0x000a733b,0x3c000a73,0x733c000a,0x0a733c00,0x000a733c,0x3d000a73,0x733d000a,0x0a733d00",0x0178,0x01,0x00,0x0000,0x001c,0x0020,0x0011,0x00000020,0x00,0x04,0x08,0x80,0x0881
47,0x2f,"0x000a7dd4,0xd5000a7d,0x7dd5000a,0x0a7dd500,0x000a7dd5,0xd6000a7d,0x7dd6000a,0x0a7dd600,0x000a7dd6,0xd7000a7d,0x7dd7000a,0x0a7dd700,0x000a7dd7,0xd8000a7d,0x7dd8000a,0x0a7dd800",0x000e,0x00,0x01,0x0200,0x3ac0,0x0040,0x001e,0x000000e8,0x00,0x04,0x00,0x00,0x2240
48,0x30,"0x000a7ddc,0xdd000a7d,0x7ddd000a,0x0a7ddd00,0x000a7ddd,0xde000a7d,0x7dde000a,0x0a7dde00,0x000a7dde,0xdf000a7d,0x7ddf000a,0x0a7ddf00,0x000a7ddf,0xe0000a7d,0x7de0000a,0x0a7de000",0x000e,0x01,0x01,0x0240,0x3b00,0x0040,0x001e,0x000000e9,0x00,0x04,0x00,0x00,0x2240
49,0x31,"0x000a7de4,0xe5000a7d,0x7de5000a,0x0a7de500,0x000a7de5,0xe6000a7d,0x7de6000a,0x0a7de600,0x000a7de6,0xe7000a7d,0x7de7000a,0x0a7de700,0x000a7de7,0xe8000a7d,0x7de8000a,0x0a7de800",0x000e,0x02,0x01,0x0280,0x3b40,0x0040,0x001e,0x000000ea,0x00,0x04,0x00,0x00,0x2240
